#,default,MINIMUM,LOW,MEDIUM,HIGH,MAXIMUM,,,,,,,,,,,
#,tax,75,,,,,,,,,,,,,,,
#,idcards,VOLUNTARY,WIDESPREAD,COMPULSORY,BIOMETRIC,HEAVILY ENFORCED,,,,,,,,,,,
#,speedcameras,TRIALS,ACCIDENT HOTSPOTS,OUTSIDE SCHOOLS,RESIDENTIAL AREAS,WIDESPREAD,EVERYWHERE,,,,,,,,,,
#,militaryspending,CEREMONIAL ONLY,RESERVISTS,LIGHT DEFENSIVE,WELL TRAINED,HIGHLY TRAINED,OVERWHELMING FORCE,,,,,,,,,,
#,armedpolice,SPECIALISTS,IN EVERY DEPT,WIDESPREAD,EVERY OFFICER ARMED,SUBMACHINEGUNS,,,,,,,,,,,
#,cctv,CRIME SPOTS ONLY,TOWN CENTERS,WIDESPREAD,EVERY STREET CORNER,FACE RECOGNITION SYSTEM,,,,,,,,,,,
#,universitygrants,PARTIAL FEES PAID,FEES PAID,GRANTS FOR POOR STUDENTS,PARTIAL GRANTS,GRANTS FOR ALL,GENEROUS GRANTS,,,,,,,,,,
#,marriedtax,SMALL,ADVANTAGEOUS,INCENTIVE,,,,,,,,,,,,,
#,gunlaws,NO LIMIT,NO MACHINEGUNS,NO AUTOMATICS,LICENCE REQUIRED,LICENCE & MIN AGE,STRICT CONTROLS,TOTAL BAN,,,,,,,,,
#,prisons,OVERCROWDED CELLS,SHARED CELLS,BASIC PROVISION,MODERN BUILDINGS,STATE OF THE ART PRISONS,,,,,,,,,,,
#,narcotics,OUTLAWED,MEDICINAL CANNABIS,AGE LIMIT FOR CANNABIS,LEGALISE CANNABIS,LEGALISE LSD,LEGALISE HEROIN,LEGALISE ALL DRUGS,,,,,,,,,
#,internetcensorship,IN EXTREME CASES,ON POLICE REQUEST,SOME SITES BLOCKED,ALL TRAFFIC MONITORED,,,,,,,,,,,,
#,gambling,"LIMITED STAKES, AGE LIMIT",NO STAKES LIMIT,NO RESTRICTIONS,,,,,,,,,,,,,
#,schoolprayers,ON PARENTS REQUEST,OPTIONAL,ONCE WEEKLY,DAILY,TWICE DAILY,,,,,,,,,,,
#,pollutioncontrols,MINIMAL MONITORING,EXTENSIVE MONITORING,GOVT TARGETS,RESTRICTIONS AND FINES,MAJOR FINES,,,,,,,,,,,
#,deathpenalty,MASS MURDERERS ONLY,FOR HOMICIDE,HOMICIDE & RAPE,FOR VIOLENT CRIME,FOR SERIOUS CRIME,FOR MOST CRIME,,,,,,,,,,
#,jurytrial,IN EXCEPTIONAL CASES,IN SERIOUS CASES,IF REQUESTED,WIDESPREAD,UNIVERSAL,,,,,,,,,,,
#,nationalservice,BASIC TRAINING,3 MONTHS SERVICE,6 MONTHS SERVICE,1 YEARS SERVICE,PERIODIC SERVICE,,,,,,,,,,,
#,organdonation,BY REQUEST,IF APPROVED BY NEXT OF KIN,PRESUMED CONSENT,UNIVERSAL(No opt-out),,,,,,,,,,,,
#,alcohollaw,NO LIMITS,MIN AGE 16,MIN AGE 18,MIN AGE 21,LOW STRENGTH BEER ONLY,STRONG RESTRICTIONS,,,,,,,,,,
#,healthservice,LIFE THREATENING OPS,ALL MAJOR OPERATIONS,SERIOUS ILLNESS ONLY,SOME PREVENTION,EXCELLENT HEALTH PROVISION,,,,,,,,,,,
#,gatedcommunities,DISCOURAGED,INDIFFERENT,ENCOURAGED,,,,,,,,,,,,,
#,labourlaws,PRO-EMPLOYER,BALANCED,PRO-UNION,,,,,,,,,,,,,
#,intel,A FEW SPIES,SMALL SPY AGENCY,SIZEABLE SPY AGENCY,HIGH TECH SPY SERVICE,SPY SATELLITE NETWORK,,,,,,,,,,,
#,roadbuilding,ESSENTIAL MAINTENANCE,BASIC MAINTENANCE,EXISTING ROADS FIXED,SOME EXPANSION,MAJOR EXPANSION,MAJOR NEW ROAD NETWORKS,,,,,,,,,,
#,phonetapping,WITH GOVT DECREE,WITH JUDICIAL ORDER,WITH POLICE CHIEF CONSENT,ON POLICE REQUEST,WIDESPREAD USE,UNIVERSAL MONITORING,,,,,,,,,,
#,detention,72 HOURS,7 DAYS,30 DAYS,90 DAYS,UNLIMITED,,,,,,,,,,,
#,creationism,FUNDAMENTALIST,RELIGIOUS EMPHASIS,SCIENCE EMPHASIS,SECULAR,ATHEIST,,,,,,,,,,,
#,curfews,FOR UNDER 16s,IN CERTAIN AREAS,1AM TO 3AM,12AM TO 6AM,10PM TO 8AM,,, ,,,,,,,,
#,welfarefraud,REPORTING HOTLINE,PRESS AD CAMPAIGNS,TV AD CAMPAIGNS,UNDERCOVER INVESTIGATORS,,,,,,,,,,,,
#,recycling,POSTER CAMPAIGN,BOTTLE BANKS,RECYCLING CENTERS,LIMITED DOORSTEP COLLECTION,UNIVERSAL DOORSTEP COLLECTION,,,,,,,,,,,
#,sciencefunding,TEST-TUBES,MICROSCOPES,ELECTRON MICROSCOPES,PARTICLE ACCELERATORS,,,,,,,,,,,,
#,stateschools,WOODEN SCHOOLHUTS,SHARED TEXTBOOKS,MODERN TEXTBOOKS,STUDENT LAPTOPS,,,,,,,,,,,,
#,bordercontrols,RANDOM PASSPORT CHECKS,PASSPORT CHECKS,BIOMETRIC CHECKS,ARMED GUARDS,RETINA SCANS,,,,,,,,,,,
#,consumerrights,LIMITED RIGHTS,RIGHT TO RETURN GOODS,AUTOMATED REFUNDS,COOLING-OFF PERIODS,,,,,,,,,,,,
#,inheritancetax,75,,,,,,,,,,,,,,,
#,maternityleave,QUARTER PAY,HALF PAY,THREE QUARTERS PAY,FULL PAY,FULL + PATERNITY LEAVE,,,,,,,,,,,
#,spaceprogram,TELESCOPES,BIG TELESCOPES,ARRAYS OF TELESCOPES,SATELLITES,UNMANNED PROBES,REUSABLE ROCKETS,REUSABLE SHUTTLE,SPACE STATION,,,,,,,,
#,abortion,TOTAL BAN,LIFE THREATENED,LIMITED CIRCUMSTANCES,2 DOCTORS' APPROVAL,ON DEMAND,,,,,,,,,,,
#,artssubsidies,PUPPETSHOW,CIRCUSES,LOW BUDGET MOVIES,THEATERS,ART GALLERY,OPERA HOUSE,,,,,,,,,,
#,corptax,50,,,,,,,,,,,,,,,
#,capgains,50,,,,,,,,,,,,,,,
#,incometax,90,,,,,,,,,,,,,,,
#,luxtax,90,,,,,,,,,,,,,,,
#,salestax,50,,,,,,,,,,,,,,,
#,junkfood,90,,,,,,,,,,,,,,,
#,tasers,EXTREME CASES,RARE USAGE,UNCOMMON USAGE,COMMON USAGE,ROUTINE,UBIQUITOUS,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,dronestrikes,SURVEILLANCE,INFRASTRUCTURE STRIKES,SURGICAL STRIKES,PREVENTIVE STRIKES,,,,,,,,,,,,
#,electriccars,PUBLIC TRANSPORT,TAXIS,BAN GAS-POWERED CARS,,,,,,,,,,,,,
#,floodawareness,ALERT SYSTEM,WARNING SYSTEM,PREDICTION SYSTEM,LONGTERM PREDICTION SYSTEM,,,,,,,,,,,,
#,childpolicy,EDUCATIONAL PROGRAM,EXCEPTIONS FOR SECOND CHILD,FEES FOR SECOND CHILD,MANDATORY STERILISATION,,,,,,,,,,,,
#,rareearth,RESEARCH GRANTS,EXPLORATORY MINES,SELECTED SITES,WIDESPREAD EXTRACTION,,,,,,,,,,,,
#,driverless,ON PRIVATE LOTS,ON SEPARATE LANE,IN METROPOLITAN AREAS,ON HIGHWAYS,,,,,,,,,,,,
#,marsprogram,MARS OBSERVATORY,MARS SATELLITE,MARS PROBE,AUTONOMOUS LANDING VEHICLE,MANNED MISSION,MARS BASE,,,,,,,,,,
#,research,LABORATOR EQUIPMENT,SCIENTIFIC PERSONNEL,SPONSORED PROFESSORSHIP,RESEARCH INSTITUTE,,,,,,,,,,,,
#,retirementdisclosure,PUBLIC PENSION CALCULATOR,STATE PENSION INDEX,OPEN INDIVIDUAL RETIREMENT ACCOUNTS,PUBLIC PRIVATE PENSION ACCOUNTS,LIFELONG INCOME INDEX,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,automatedtrading,FREQUENCY LIMITS,TRADING DELAYS,CIRCUIT BREAKERS,BAN HIGH-FREQUENCY,TOTAL BAN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,ban,FINES,RESTRICTIONS,BAN,,,,,,,,,,,,,
#,cityban,SOME RESTRICTIONS,COMMERCIAL ONLY,DISABLED ONLY,TOTALBAN,,,,,,,,,,,,
#,secretcourts,TERRORISM ONLY,ORGANIZED CRIME,CAPITAL CRIMES,EVERYDAY CRIMES,,,,,,,,,,,,
#,censorship,NEWSPAPERS CENSORED,TELEVISION MONITORED,TELEVISION & RADIO MONITORED,ALL MEDIA MONITORED,,,,,,,,,,,,
#,torturedevices,ON NUCLEAR THREATS,ON SEVERE THREATS,ON ALL THREATS,VIOLENT CRIMES,PREEMPTIVE MEASURES,,,,,,,,,,,
#,workforunemployed,VOLUNTEERS PREFERED,LONG TERM UNEMPLOYED,MOST UNEMPLOYED,ALL UNEMPLOYED,,,,,,,,,,,,
#,taxreturns,ONLY NAMES AND DATES,SOME DETAILS,ALL DETAILS,,,,,,,,,,,,,
#,foreignchurchban,MINOR CHURCHES BANNED,ALL BANNED,,,,,,,,,,,,,,
#,flagsoncorners,MAJOR CITY STREETS,MOST CITY STREETS,EVERY STREET,,,,,,,,,,,,,
#,nationalnewsanthems,STATE  CHANNELS,ALL CHANNELS,NEWSREADER SINGS!,,,,,,,,,,,,,
#,anthemsinschool,AGE 16-18,AGE 14-18,AGE 10-18,ALL SCHOOLS,,,,,,,,,,,,
#,churchattendance,WARNINGS FOR NON ATTENDANCE,FINES FOR NON ATTENDANCE,IMPRISONMENT FOR NON ATTENDANCE,,,,,,,,,,,,,
#,religiousoath,FOR MILITARY,FOR POLITICIANS,FOR STATE EMPLOYEES,FOR ALL CITIZENS,,,,,,,,,,,,
#,religiousbroadcasts,STATE OWNED CHANNEL,SUPPORT FOR ALL CHANNELS,DEDICATED CHANNELS,,,,,,,,,,,,,
#,bandivorce,2 YEAR SEPARATION REQUIRED,ONLY IF DANGEROUS SPOUSE,FULL BAN,,,,,,,,,,,,,
#,banhomosexuality,BAN PROMOTION,PUBLIC OUTING BANNED,PUNISHABLE WITH JAIL,,,,,,,,,,,,,
#,ceopay,100x AVERAGE,50x AVERAGE,20x AVERAGE,10x AVERAGE,5x AVERAGE,,,,,,,,,,,
#,unionban,VOTE NEEDED,COMPANIES DISCRETION,TOTAL BAN,,,,,,,,,,,,,
#,closeairports,FREIGHT,DOMESTIC,INTERNATIONAL,LONG HAUL,ALL,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,righttodie,IN EXTREME CIRCUMSTANCES,MULTIPLE DOCTORS AGREEMENT,SINGLE DOCTORS AGREEMENT,FAMILYS AGREEMENT,AT WILL,,,,,,,,,,,
#,righttoprivacy,SOME RESTRICTIONS,MAJOR RESTRICTIONS,TOTAL TRACKING BAN,,,,,,,,,,,,,
#,gendertransition,DOCTORS AGREEMENT PLUS AGE LIMIT,DOCTORS AGREEMENT,AT WILL,SUBSIDIZED BY STATE,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,reforestation,1 MILLION/YEAR,20 MILLION/YEAR,40 MILLION/YEAR,60 MILLION/YEAR,80 MILLION/YEAR,100 MILLION/YEAR,,,,,,,,,,
#,prisonregime,GENTLE,BALANCED,HARSH,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,termlength,3 Years,4 Years,5 Years,6 Years,7 Years,,,,,,,,,,,
#,termlimit,2,3,4,5,NONE,,,,,,,,,,,
#,gamehunting,UNREGULATED,LICENSED,RING FENCED FEES,BANNED,,,,,,,,,,,,
#,languages,FOREIGN BUSINESS LANGUAGE,MULTIPLE FOREIGN LANGUAGES,,,,,,,,,,,,,,
#,fgmban,BANNED FOR FEMALES,BANNED (MALE & FEMALE),HEAVY FINES,IMPRISONMENT,,,,,,,,,,,,
#,genderact,LEGAL EQUALITY,POSITIVE ACTION,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,selectiveschooling,NO SELECTION,SEPARATE CLASSES,NEUTRAL,DEDICATED SCHOOLS,SUBSIDIZE BEST SCHOOLS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,monorail,MONORAIL (85 MPH),HIGH-SPEED RAIL (100 MPH),BULLET TRAINS (160 MPH),MAGLEV TRAINS (200 MPH),HYPERLOOP (340 MPH),,,,,,,,,,,
#,nuclearfission,DECOMISSION EXISTING,DECOMISSION AT END OF LIFE,EXTEND LIFE,EXPANSION,WIDESPREAD EXPANSION,SUBSIDIES,GENEROUS SUBSIDIES,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,retirement,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
,,,,,,,,,,,,,,,,,
#,citizenshipforsale,SUPERWEALTHY,WEALTHY,UPPERMIDDLECLASS,MIDDLECLASS,,,,,,,,,,,,
#,immigrationrules,MAJOR RESTRICTIONS,SKILLED & NATIVE LANGUAGE,SKILLED,WITH JOB OFFER,OPEN BORDERS,,,,,,,,,,,
